premise,conclusion,kind,cross_attribute_part,support
"total_so2>=medium(60), volatile_acidity>=high(0.7)","alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",1
"total_so2>=high(100), volatile_acidity>=high(0.7)","alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), residual_sugar=dry, sulphates>=medium(0.6)",1
"density=light, volatile_acidity>=high(0.7)","citric_acid_absent, fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"citric_acid_absent, fixed_acidity>=low(6), residual_sugar=dry",17
"pH<=acidic(3.1), volatile_acidity>=high(0.7)","chlorides=low_salt, citric_acid_absent, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=low_salt, citric_acid_absent, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",1
"pH=neutral_range, volatile_acidity>=high(0.7)","fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), residual_sugar=dry",15
"sulphates>=medium(0.6), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), residual_sugar=dry",11
"sulphates>=high(0.8), volatile_acidity>=high(0.7)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"alcohol>=11, volatile_acidity>=high(0.7)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry",5
"alcohol>=13, volatile_acidity>=high(0.7)","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"quality>=acceptable(5), volatile_acidity>=high(0.7)","fixed_acidity>=low(6), residual_sugar=dry, volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"fixed_acidity>=low(6), residual_sugar=dry",25
"quality>=good(7), volatile_acidity>=high(0.7)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"quality>=excellent(8), volatile_acidity>=high(0.7)","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60)",0
"citric_acid_absent, citric_acid_present","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"citric_acid_absent, residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"citric_acid_absent, total_so2>=high(100)","free_so2>=low(6), sulphates>=medium(0.6), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"free_so2>=low(6), sulphates>=medium(0.6), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",5
"citric_acid_absent, pH<=acidic(3.1)","density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",2
"citric_acid_absent, pH=neutral_range","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",57
"citric_acid_absent, sulphates>=high(0.8)","free_so2>=low(6), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"free_so2>=low(6), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",7
"alcohol>=11, citric_acid_absent","density=light, free_so2>=low(6), volatile_acidity>=low(0.3)",data-induced,"density=light, free_so2>=low(6), volatile_acidity>=low(0.3)",23
"alcohol>=13, citric_acid_absent","alcohol>=11, chlorides=low_salt, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, density=light, free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20), volatile_acidity>=low(0.3)",3
"citric_acid_absent, quality>=good(7)","density=light, free_so2>=low(6), quality>=acceptable(5), volatile_acidity>=low(0.3)",data-induced,"density=light, free_so2>=low(6), volatile_acidity>=low(0.3)",7
"citric_acid_absent, quality>=excellent(8)","alcohol>=11, alcohol>=13, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, alcohol>=13, chlorides=low_salt, density=light, free_so2>=low(6), free_so2>=medium(15), pH>=basic(3.4), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
"citric_acid_present, residual_sugar=dry",fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),86
"citric_acid_present, residual_sugar=off_dry","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",12
"citric_acid_present, total_so2>=medium(60)","free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20)",data-induced,"free_so2>=low(6), quality>=acceptable(5)",21
"citric_acid_present, total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5)",9
"citric_acid_present, density=light",quality>=acceptable(5),data-induced,quality>=acceptable(5),37
"citric_acid_present, pH>=basic(3.4)","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), residual_sugar=dry, total_so2>=low(20)",11
"citric_acid_present, sulphates>=medium(0.6)",fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),73
"citric_acid_present, sulphates>=high(0.8)","fixed_acidity>=low(6), quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",19
"alcohol>=11, citric_acid_present","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",42
"alcohol>=13, citric_acid_present","alcohol>=11, chlorides=high_salt, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",data-induced,"chlorides=high_salt, density=light, fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), residual_sugar=dry, volatile_acidity>=low(0.3)",1
"citric_acid_present, quality>=good(7)","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,fixed_acidity>=low(6),20
"citric_acid_present, quality>=excellent(8)","alcohol>=11, chlorides=low_salt, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, quality>=acceptable(5), quality>=good(7), residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, density=light, fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), pH=neutral_range, residual_sugar=dry, sulphates>=medium(0.6), total_so2>=low(20), volatile_acidity>=low(0.3)",1
"residual_sugar=dry, residual_sugar=off_dry","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"residual_sugar=dry, residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"pH=neutral_range, residual_sugar=dry",fixed_acidity>=low(6),data-induced,fixed_acidity>=low(6),111
"alcohol>=11, residual_sugar=dry",quality>=acceptable(5),data-induced,quality>=acceptable(5),56
"quality>=good(7), residual_sugar=dry","free_so2>=low(6), quality>=acceptable(5)",data-induced,free_so2>=low(6),22
"residual_sugar=off_dry, residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"chlorides=low_salt, residual_sugar=off_dry","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",7
"free_so2>=low(6), residual_sugar=off_dry","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",10
"free_so2>=medium(15), residual_sugar=off_dry","fixed_acidity>=low(6), free_so2>=low(6), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",5
"free_so2>=high(30), residual_sugar=off_dry","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",2
"residual_sugar=off_dry, total_so2>=medium(60)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), volatile_acidity>=low(0.3)",4
"residual_sugar=off_dry, total_so2>=high(100)","fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), volatile_acidity>=low(0.3)",3
"density=light, residual_sugar=off_dry","fixed_acidity>=low(6), free_so2>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), free_so2>=low(6), volatile_acidity>=low(0.3)",4
"pH<=acidic(3.1), residual_sugar=off_dry","alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"alcohol>=11, chlorides=low_salt, citric_acid_present, density=light, fixed_acidity>=low(6), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), quality>=acceptable(5), quality>=good(7), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",1
"pH>=basic(3.4), residual_sugar=off_dry","citric_acid_absent, fixed_acidity>=low(6), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"citric_acid_absent, fixed_acidity>=low(6), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",4
"residual_sugar=off_dry, sulphates>=medium(0.6)","fixed_acidity>=low(6), quality>=acceptable(5)",data-induced,"fixed_acidity>=low(6), quality>=acceptable(5)",13
"residual_sugar=off_dry, sulphates>=high(0.8)","chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5), sulphates>=medium(0.6)",data-induced,"chlorides=high_salt, citric_acid_present, density=heavy, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), pH=neutral_range, quality>=acceptable(5)",2
"alcohol>=11, residual_sugar=off_dry","fixed_acidity>=low(6), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",9
"alcohol>=13, residual_sugar=off_dry","alcohol>=11, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"quality>=good(7), residual_sugar=off_dry","fixed_acidity>=low(6), quality>=acceptable(5), volatile_acidity>=low(0.3)",data-induced,"fixed_acidity>=low(6), volatile_acidity>=low(0.3)",5
"quality>=excellent(8), residual_sugar=off_dry","alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=good(7), residual_sugar=dry, residual_sugar=sweet, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, chlorides=high_salt, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"chlorides=high_salt, residual_sugar=sweet","alcohol>=11, alcohol>=13, chlorides=low_salt, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), residual_sugar=dry, residual_sugar=off_dry, sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",data-induced,"alcohol>=11, alcohol>=13, citric_acid_absent, citric_acid_present, density=heavy, density=light, fixed_acidity>=high(10), fixed_acidity>=low(6), fixed_acidity>=medium(8), free_so2>=high(30), free_so2>=low(6), free_so2>=medium(15), pH<=acidic(3.1), pH=neutral_range, pH>=basic(3.4), quality>=acceptable(5), quality>=excellent(8), quality>=good(7), sulphates>=high(0.8), sulphates>=medium(0.6), total_so2>=high(100), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=high(0.7), volatile_acidity>=low(0.3), volatile_acidity>=medium(0.5)",0
"free_so2>=medium(15), residual_sugar=sweet","chlorides=low_salt, citric_acid_present, density=light, free_so2>=low(6), pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",data-induced,"chlorides=low_salt, citric_acid_present, density=light, pH=neutral_range, quality>=acceptable(5), total_so2>=low(20), total_so2>=medium(60), volatile_acidity>=low(0.3)",1
